episode,timestep,reward
1,2000,541.3996
3,4000,552.9724
5,6000,600.9994
7,8000,574.8945
9,10000,638.0164
11,12000,640.8098
13,14000,694.6004
15,16000,687.8535
17,18000,726.1775
19,20000,779.5297
21,22000,769.8425
23,24000,819.0913
25,26000,820.5541
27,28000,855.2834
29,30000,873.8248
31,32000,967.7169
33,34000,952.6187
35,36000,976.0577
37,38000,1000.2757
39,40000,1006.8807
41,42000,1040.6497
43,44000,1059.9803
45,46000,1087.7464
47,48000,1107.9576
49,50000,1132.7397
51,52000,1167.4803
53,54000,1172.2973
55,56000,1189.5698
57,58000,1203.4523
59,60000,1237.8038
61,62000,1229.6921
63,64000,1259.6934
65,66000,1272.0732
67,68000,1319.8681
69,70000,1277.8176
71,72000,1358.1482
73,74000,1354.8267
75,76000,1366.5041
77,78000,1388.6847
79,80000,1447.6921
81,82000,1441.4515
83,84000,1413.9815
85,86000,1467.9969
87,88000,1483.4689
89,90000,1481.6175
91,92000,1506.0823
93,94000,1524.4779
95,96000,1530.7203
97,98000,1528.2468
99,100000,1555.2936
101,102000,1569.8941
103,104000,1581.7446
105,106000,1591.5621
107,108000,1623.1834
109,110000,1640.657
111,112000,1657.0979
113,114000,1680.2049
115,116000,1695.4689
117,118000,1723.0914
