Date/Time,Electricity:Facility [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Total:Electricity(kW)
 01/01  01:00:00,1.019364019,0.298570413,0.298570413,0.298570413,0.161612796,0.035211311,0.092942925,0.413914574,2.618756864
 01/01  02:00:00,0.887116171,0.297897993,0.297897993,0.297897993,0.094274166,0.020539939,0.07618578,0.381106294,2.352916329
 01/01  03:00:00,0.83346303,0.295326814,0.295326814,0.295326814,0.067338672,0.014671381,0.062326493,0.37668767,2.240467688
 01/01  04:00:00,0.818019592,0.293535787,0.293535787,0.293535787,0.067338672,0.014671381,0.053976431,0.371385321,2.205998758
 01/01  05:00:00,0.812915985,0.290614877,0.290614877,0.290614877,0.067338672,0.014671381,0.065822864,0.357356191,2.189949724
 01/01  06:00:00,0.865135202,0.28715418,0.28715418,0.28715418,0.067338672,0.014671381,0.080078181,0.398780788,2.287466764
 01/01  07:00:00,1.087779303,0.280908617,0.280908617,0.280908617,0.154878975,0.033744183,0.140383543,0.460751986,2.720263841
 01/01  08:00:00,1.429298064,0.293588004,0.293588004,0.293588004,0.316491771,0.068955493,0.228567291,0.489583505,3.413660136
 01/01  09:00:00,1.382220562,0.281020773,0.281020773,0.281020773,0.303024045,0.066021219,0.30112795,0.413914574,3.309370669
 01/01  10:00:00,1.220633354,0.287558868,0.287558868,0.287558868,0.154878975,0.033744183,0.375064554,0.352274774,2.999272444
 01/01  11:00:00,1.271489473,0.342205875,0.342205875,0.342205875,0.127943439,0.027875616,0.395792849,0.360559693,3.210278695
 01/01  12:00:00,1.291682463,0.344472764,0.344472764,0.344472764,0.127943439,0.027875616,0.413608485,0.360670159,3.255198454
 01/01  13:00:00,1.215100408,0.287918322,0.287918322,0.287918322,0.127943439,0.027875616,0.39965648,0.354594551,2.98892546
 01/01  14:00:00,1.169483716,0.268260613,0.268260613,0.268260613,0.127943439,0.027875616,0.361435816,0.366856232,2.858376658
 01/01  15:00:00,1.169849015,0.269435868,0.269435868,0.269435868,0.134677344,0.029342762,0.331767743,0.387513298,2.861457766
 01/01  16:00:00,1.252506589,0.281392754,0.281392754,0.281392754,0.168346701,0.036678457,0.339922589,0.409054088,3.050686686
